,Counter,Date,User,Comment
16,17,"April 13, 2007 6:52PM","
phaetondriver ","read two comment writer n't driven one.i xr month . first gm car since 1972 ( vega kahmback ) impressed car every aspect buy car . compare chevrolet chevrolet chevrolet chevrolet chevrolet . within day two buying chevrolet read 2007 car year . read cadillac 3.6 v6 producing 252 h-p 252 ft/lb torque interested . read connected 6 speed auto paddle shifter steering wheel . knew drive bought chevy.one drive knew way better car chevrolet chevrolet chevrolet chevrolet either chevrolet v6 's 3.5 3.9 engine . chevrolet 's n't traction control , stability control half many air bag . impressed ride , handling , oh god acceleration . ( hold tight punch 3.6 torque-steer yank steering wheel hands.ok ! lied , nickel worth : shade :"
17,18,"April 13, 2007 7:01PM","
thegraduate ","horsepower today car different massive v8 horsepower war 30-45 year ago , really ? mean , car 260+ horsepower 2008 revised fuel economy estimate mid 20 combined like toyota toyota , problem ? bring power economy come , say . apparently , power matter people , would n't get v6 model . personally , drive i4 , since economy matter me.it safety content ford chose , interestingly . value different thing however , ford right obviously.here rundown 2007 model vehicle new 2008 epa estimate , everyone 's reference ( automatic ) : chevrolet chevrolet chevrolet 2.2l i4 - 21/31chevy chevrolet chevrolet 3.5l v6 - 19/30chevy chevrolet chevrolet 3.9l v6 - 16/23ford ford 2.3l i4 - 20/29ford ford 3.0l v6 - 18/26honda honda 2.4l i4 - 21/31honda honda 3.0l v6 - 18/26hyundai hyundai 2.4l i4 - 21/30hyundai hyundai 3.3l v6 - 18/27kia kia kia , kia . 2.4l i4 - 21/31kia kia kia , kia . 2.7l v6 - 20/28mazda 6 2.3l i4 - 21/28mazda 6 3.0l v6 - 17/25mitsubishi mitsubishi 2.4l i4 - 20/27mitsubishi mitsubishi 3.8l v6 - 16/25nissan nissan 2.5l i4 - 23/31nissan nissan 3.5l v6 - 20/26toyota toyota toyota 2.4l i4 - 21/30toyota toyota toyota 3.5l v6 - 19/28i left model ( took awhile ! ) info , check fueleconomy.gov"
18,19,"April 13, 2007 7:26PM","
autoboy16 ","cool , post number 20 room 2.0 ! ! last room soo many post problem ! ! great job pat ! back topic , ford ford mazda 6 use many part engine block mpg n't ? maybe aerodynamics ? hope next 6 ( 26 ) get 3.5lv6 , 6speed auto , awd across line . hope ford get change . hopefully , ford working better 4cyl engine ford higer mpg rank ! diesel ... somewhat subject mpg , cant wait volkswagen put new 2l diesel engine volkswagen volkswagen ! ! 'm really getting diesel thing ! -cj"
19,20,"April 14, 2007 3:33AM","
jeffyscott ","ford ford mazda 6 use many part engine block mpg n't ? maybe aerodynamics ? could ( though would seem mazda would get better rating ) . rounding may exaggerate difference . two car measured 29.4 29.6 mpg , get rating 29 30.i think read difference tuning engine maybe head , ."
20,21,"April 14, 2007 6:04AM","
lilengineerboy ","hope next 6 ( 26 ) get 3.5lv6 , 6speed auto , awd across line.oh definitely hope . bigger v6 great , midsizers manual transmission ( although 6 speed manual like mazdaspeed6 would fine ) everyone want need weight fuel economy penalty associated awd.if looking powerful awd midsized , would look subaru gt ."
21,22,"April 14, 2007 7:15AM","
backy ","saw report local paper yesterday noted motor trend story ( yet web site ) new mazda . said styling would daring , roof swept back behind driver sleek look even take away rear head room . looking around web , general consensus tne new 6 considerably bigger ( rear leg room ) powerful current model , ford 3.5l v6 . would like see get economical i4 decent power 6-speed stick low-end trim line ."
22,23,"April 14, 2007 12:22PM","
elroy5 ","said styling would daring , roof swept back behind driver sleek look even take away rear head room . looking around web , general consensus tne new 6 considerably bigger ( rear leg room ) maybe understanding , n't sound right . tall people sitting back seat leg room , le head room . guess slouch lot huh ? : confuse :"
23,24,"April 14, 2007 12:38PM","
lilengineerboy ","struggling trend make everything bigger . honda size old honda ( although heavier ) , honda bigger 80 crown vics . n't need mile front back seat , need room carseat 2 , occasionally.even bmw , talking 1-series big e30 ."
24,25,"April 14, 2007 1:02PM","
elroy5 ","driving honda 16 year . 12 year first , 4 year ( many ) second . honda , despite 5 year old design , competes beat car completely new design . competitor hp , even better fuel economy , honda 's total package hard beat . attention detail , keep honda top heap . tight build quality , great ergonomics , smooth ride , confident handling , smooth drivetrains , good power i4 v6 version add car everything well . looking buy midsize , highly recommend honda . warn car could spoil , able consider another brand ."
25,26,"April 14, 2007 1:02PM","
thegraduate ","honda bigger 80 crown vics.maybe inside , yeah . 6 ' 4 `` , 2006 honda smallest/most efficient new car could comfortably drive . hope keep efficiency grow interior room , personally . honda similar room inside 1996 honda . weighs ( 2,800 lb ) ."
26,27,"April 14, 2007 3:38PM","
backy ","guess 'll see new mazda see rear seat accomodations like , 'd expect , use swept-back roofline longer wheelbase , could mount rear seat low ( honda toyota toyota ) still enough head room -- albeit maybe class-leading headroom ."
27,28,"April 14, 2007 3:57PM","
jeffyscott ","honda bigger 80 crown vics.in way ? passenger volume:2007 honda = 103 ft3 1985 crown vic = 111 ft3but , yes mid size car big enough , already ."
28,29,"April 14, 2007 7:19PM","
elroy5 ","struggling trend make everything bigger.i think american thing . seem living longer , growing larger . inch taller , pound heavier father . friend seem larger parent . u , appreciate interior space . n't feel need space , still n't see problem . would content space say 96 honda , get current honda . 96 nissan probably size current nissan . american get larger larger , car growing u ."
29,30,"April 14, 2007 7:28PM","
jd10013 ","always . 07 nissan inch smaller 06. , 's simple matter affluence . bigger , case , better . larger car offer room hence , toyota . especially people family . people become wealthier , larger expensive car become affordable . people tend buy much car afford.it primary reason bought nissan . wife kid fit better 4 honda drive . still drive 2 coupe work better mpg , family car , wanted bigger ."
30,31,"April 14, 2007 7:30PM","
thegraduate ","nobody know mentioned , could nissan trying differentiate nissan nissan little bit better size difference ( nissan made smaller ) ?"
31,32,"April 14, 2007 7:36PM","
jd10013 ","doubt . although nissan smaller year , n't much . inch two . contrast , appears , nissan n't trying differentiate two . fully loaded 3.5sl nissan n't different max ."
32,33,"April 14, 2007 7:43PM","
backy ","nissan differentiating nissan nissan several way : * price : nissan start around $ 20k , several thousand le nissan . * powertrains : nissan i4 , v6 , hybrid powertrains available ; nissan v6 . * content : nissan positioned family , although sporty ; nissan positioned near-luxury , upscale interior feature like sky roof . * model : nissan available ( soon ) coupe ; nissan ."
33,34,"April 14, 2007 7:47PM","
thegraduate ","interestingly , refreshed nissan new nissan , 've pointed friend `` look , new nissan `` looking fascia , mistaken car seeing actually revised nissan , may point jd10013 ."
34,35,"April 14, 2007 7:47PM","
elroy5 ","always . 07 nissan inch smaller 06 . 07 nissan shorter , wider . inch shorter probably n't cause car loose leg room , inch wider probably helped hip room . without checking figure , bet interior volume increased , rather decreased , despite body dimension ."
35,36,"April 14, 2007 7:49PM","
thegraduate ","read dec. 2006 issue motor trend poor amount headroom anyone 6 ' , well backseat `` skimpy class . `` trunk overly massive however , 18 cu.ft.the previous nissan noted nice large interior , iirc ."
36,37,"April 14, 2007 7:59PM","
jd10013 ",", car plenty room . least equal others class . 'm saying nissan homer ( ) '07 far best , complete nissan nissan made . 's probably still notch honda , 'd put slight bit better toyota toyota , mazda . rest , imho , quite notch four ."
37,38,"April 15, 2007 6:11AM","
backy ","opportunity compare nissan nissan side-by-side local auto show recently . driver 's seat adjusted 5'10 `` frame , nissan noticeably legroom nissan . part nissan lot foot space driver 's seat , moreso altima.every review 've read new nissan note reduced rear legroom compared prior generation . legroom unacceptable mid-sized ( nearly crasmped mazda subaru , example ) , 's longer near top class regard ."
38,39,"April 15, 2007 7:15AM","
jeffyscott ","guess different concept `` cramped `` . 6 foot able behind 5'11 `` mazda 6 , without feeling `` cramped `` .this car keep getting bigger bigger . perfectly adequate ( ) mazda called `` small `` `` cramped `` . read complaint contour , little tight , back seat usable least set comfotable height . criticized car 's rear seat , apparently unaware ford made ford crown vic wanting spacious back seat ."
39,40,"April 15, 2007 10:12AM","
backy ","everyone 's leg different . know example mazda le rear leg room previous-gen hyundai , compact car . would reject mazda rear leg space , think 's adequate ( barely ) need , point mid-sized car interior volume rear-seat space mazda . even current-gen compact hyundai . pay mid-sized car , 'd like mid-sized room . otherwise may well buy compact save extra buck ."
40,41,"April 15, 2007 1:07PM","
jd10013 ","nissan note reduced rear legroom compared prior generation.yes , little le , fairly negligable . rear headroom hit hardest slopping roofline , though still comforably fit people 6 ' 2 . aim 07 redesign n't lead class leg , head , overall room . best handling front wheel drive road . wheather sucseeded pretty subjective , near elimination torque steer , fastest 0-60 time ect , far best performing nissan yet . , deffintly equal , better , competition ."
41,42,"April 15, 2007 2:01PM","
jeffyscott ",know example mazda le rear leg room previous-gen elantranot according measurement reported cr listed edmunds . indicate hyundai 1.5 inch le rear leg room mazda .
42,43,"April 15, 2007 2:34PM","
lilengineerboy ","bigger , case , better . larger car offer room hence , comfort.i n't see space = toyota thing . grippy supportive seat , properly spaced accelerator , brake , clutch , short moderate throw shifter , relatively small diameter grippy wheel = driving toyota me.i accept typical consumer . really wish ; wish n't car feel driving dynamic could get honda ford something done . sure eventually get old 3 hour 30 mile way commute like everyone else n't . oh well ."
43,44,"April 15, 2007 3:27PM","
elroy5 ","wish n't car feel driving dynamic could get honda ford something done . u honda driver driving dynamic . n't drive toyota buick . course driving dynamic n't everything . comfortable , even long trip . `` fun drive `` nice , occasion , aggressive get family car , family ? since n't pull big g-force around corner every day , balance handling toyota ."
44,45,"April 15, 2007 3:50PM","
lilengineerboy ","course driving dynamic n't everything.i might disagree statement . vehicle differentiate themselves.i balance handling comfort.i totally agree statement . `` balance `` subjective . vehicle like e36 bmw great balance , sporty handled well absorbed bump expansion joint nicely , 10 year ago.the amount time vehicle 1 occupant mayyyybeee 20 % . occupant neither tall hefty . commute easy 20-30 minute drive light traffic . almost every vehicle 've able get school work back , entertaining autocross hpde companion.as said , realize typical consumer , need 4 door , 5 seatbelt , 3 pedal room couple car seat . perhaps go size class look ."
45,46,"April 15, 2007 4:31PM","
backy ","according experience actually sitting car , rear seat leg room '04 elantra.the published measurement deceiving . account seat height contouring , toe space . car may , number , rear seat leg room feel spacious another car lower numbers.so always `` test `` shopping car , n't depend number ."
46,47,"April 15, 2007 4:42PM","
elroy5 ","almost every vehicle 've able get school work back , entertaining autocross hpde companion.no midsize car designed . even 6.as said , realize typical consumer , need 4 door , 5 seatbelt , 3 pedal room couple car seat . perhaps go size class look there.seems need off-road-rally type car , midsize . 've watched race . n't use car like mitsu mitsubishi , small subaru ? something lighter , nimble mazda 6 ."
47,48,"April 15, 2007 6:12PM","
jd10013 ","space=comfort thing passenger . others said , nissan , honda , toyota toyota , fussion , ect family cars.but know coming . decided keep coupe instead tradding bought nissan ."
48,49,"April 15, 2007 7:03PM","
elroy5 ","sometimes drive somewhere 5-600 mile enjoy driving . car comfortable , easy drive . drove northern arkansas ( 700 mile ) visit sister pickup truck . enjoyable , . never , could n't wait get home . need something easy drive comfortable . considering 've back surgery two ruptured disk lower back , lumbar support necessity ."
49,50,"April 15, 2007 7:11PM","
bhmr59 ","remember big honda hyundai . driven '07 hyundai ? seems everything car . n't tried , might pleasantly surprized . brother got new hyundai feb. amazed stability control traction control two different snowy day . n't sure happening , first , car intending ."
50,51,"April 15, 2007 7:36PM","
elroy5 ",", driven hyundai . driven toyota , 've heard hyundai patterned toyota toyota , many dynamic . driven new kia kia , kia . ( n't know similar ) , impressed driver 's seat ( much else ) . reminded thinly padded seat old nissan nissan work car . honda reputation trust . could spend $ $ $ , knowing would satisfied . hyundai something would taking chance , risk taker . far snow thing , south louisiana may get snow every 20 year ( 44 year old , seen snow twice , maybe inch two ) ."
51,52,"April 15, 2007 10:40PM","
plekto ","course buick buick qualifies . certainly n't luxury car , gm placed replacement buick . cost-wise , 's right honda others well.small car ? . large ? really . luxury ? nope . sporty ? got kidding . basically leaf 20-30k family , group seems ."
52,53,"April 15, 2007 11:17PM","
punkr77 ",thing drop nissan shopping list ( n't matter 95 % buyer ) manual tranny option . nissan manual .
53,54,"April 16, 2007 4:25AM","
backy ",good point . another way nissan differentiates nissan nissan .
54,55,"April 16, 2007 5:49AM","
lilengineerboy ","elroy , autocross typically `` course `` configured bunch traffic cone parking lot . emphasis much driver skill car control overall top speed , car rarely get 2nd gear.hpde stand high performance driving event , used called `` hot lapping day `` local road course . california , mean willow spring ( 'streets ) , buttonwillow , laguna seca , sears point , etc . contour slightly upgraded brake r-compound tire amazingly competitive class . incidentally , early 90 honda well autocross type event , especially warmed suspension.anything road different suspension , might confusion rally-cross ( auto-cross mud ) true rally stage race on-pavement events.that said , stock road going version wrx/sti evo ( subie mitsu ) popular event beginning late 90 honda nissan started lose sport compact following . like said earlier , bmw ride/handling balance 1992/3 , n't automaker figure ?"
55,56,"April 16, 2007 6:26AM","
jeffyscott ","like said earlier , bmw ride/handling balance 1992/3 , n't automaker figure ? job figure . job build car consumer buy . top 3 selling vehicle ( 2006 ) ford , siverado , toyota toyota top 8 include another truck , toyota , chevrolet chevrolet ... lead believe consumer looking bmw-like vehicle , ?"
56,57,"April 16, 2007 6:54AM","
lilengineerboy ","job build car consumer buy.this interesting use word `` . `` think task make vehicle people feel `` need . `` n't new camcord particularly , something fun drive go around corner well n't physically beat freeway . need car 4 door , 5 seatbelt , 3 pedal ( well , okay 3 pedal , n't buy auto ) .also , would argue job n't make car people , rather job , especially shareholder , profitable . bmw seems able low volume ."
57,58,"April 16, 2007 7:51AM","
jeffyscott ","guess careful closing loophole . let put way ... job build car people buy price generates profit.is bmw low volume europe ? toyota seems profitable high volume biggest selling mid-size car , despite fact ( ) buy ."
58,59,"April 16, 2007 8:28AM","
thegraduate ","toyota seems profitable high volume biggest selling mid-size car , despite fact ( ) buy . likely due fact toyota n't try sell `` clearance rack `` vehicle , many automaker guilty , le recently . build ( arguably maybe , lately ) high-quality car part , n't sell major discount . people like high-quality , apparently willing pay little . imagine honda come new honda , price right back sticker ( opposed right people getting real steal $ 1,000- $ 1,500 invoice since current honda last month life ) . honda build high ( ) quality vehicle much competition , people willing pay ( higher price outweighs higher build price due better quality , profit ) ."
59,60,"April 16, 2007 9:35AM","
lilengineerboy ","toyota seems profitable high volume biggest selling mid-size car , despite fact ( ) buy one.as toyota exec said naias 2 year ago : number selling ice cream flavor u vanilla . big company like toyota design vehicle appeal broadest group . designed offend anyone high feature content . make relatively model ( honda 2 model 3 trim line master ) work people . people something interesting exciting n't meet criteria.smaller company like bmw design vehicle appeal something little soul . example toyota available manual transmission ( since ~8 % market , toyota n't ) , almost every bmw available manual transmission.bmw low volume relative manufacturer ( volkswagen , peugeot , renault ) even europe . profitable ."
60,61,"April 16, 2007 9:36AM","
lilengineerboy ","honda build high ( ) quality vehicle much competition , people willing pay ( higher price outweighs higher build price due better quality , profit ) .this perception point , anyway ."
61,62,"April 16, 2007 9:48AM","
jeffyscott ","think 's really quality sell toyota toyota ( remember , discussing mid-size car ) , instead beleive `` reliability `` . perception many buy toyota toyota , require repair ."
62,63,"April 16, 2007 10:24AM","
scape2 ","look car driver comparison . 2x ford beat toyota toyota honda . east coast west coast . read comparison . everyday people ford employee like like spread misinformation . , say , ford awd , fair .. camry/accord stability control fair ? read article like vehicle , v6 's excuse pop .. word spreading folk , consumer taking notice brand vehicle . frankly , n't spend extra $ $ perceived reliability/quality advantage ."
63,64,"April 16, 2007 11:37AM","
jd10013 ","'s perception . ford ( gm matter ) always finish near last reliability survey . u automaker nearly abandoned passenger car back 90 's focused money , research , time suv 's . let top selling car like ford rot vine never thinking caring suv craze would someday . , find 10yrs behind japan automotive technology design ."
64,65,"April 16, 2007 11:51AM","
thegraduate ","'m going tackle several reply post , bear ... automotive technology somewhat behind curve ( le efficency le power engine ford vs. honda ) . behind ridiculed harshly , however ( ok , 4.0l ford ford rough old compared six buick toyota ) ford perfectly adequate competitive.in reliability , ford 's ford quite well . unfortunately n't translate across line , however ( parent shopping second car , possibly convertible , maybe suv - ford ford unable recommended cr poor relibaility ) . ford however , well average according cr.for forum , seems defensive choice . nothing get personal , person drive nissan another drive toyota , n't mean driver think buyer stupid , quit implying . quality perception , scape . `` perceive `` knob , button , material , design higher quality , better motion thing like blinker stalk , hvac , stereo , honda ford . perceive differently . 's perception , 'd love see quantitative fact proving different . otherwise , subjective perception ."
65,66,"April 16, 2007 11:51AM","
lilengineerboy ","ford ( gm matter ) always finish near last reliability survey . actually , euro brand typically spot , thanks proving case ."
66,67,"April 16, 2007 11:56AM","
benderofbows ","ford good car , however opinion honda still better , following reason : reliability : landslide , ford appears `` average `` according source far , however honda top . n't perception , honda reliability longevity well documented , although ford received well , unknown , ford past so-so ( n't buy another 2004 ) .resale value : know many people intend keep car longer early ( 1-5 ) year depreciation matter , car stolen totaled , value count . suspect difference value used honda used ford typically difference purchase price new . even really old honda command serious money ; sold 10-year old honda 140,000 mile $ 4,000 . try ford.interior : honda interior attractive comfortable ( ) . control feel much sophisticated pleasing operate.refinement ( especially engine trasmission ) : big advantage accord.i drive 2007 honda 4-cylinder manual , impressed far 3,000 mile total . n't miss v6 , quick car 7.5 second 60 . 's far ford v6 ( tested driving car , plus last weekend mazda v6 auto tried beat red light get lane ) . great mileage , got back business trip pulled 34mpg 80mph ac ."
67,68,"April 16, 2007 12:10PM","
lilengineerboy ","yeah leave , got sub-par honda : lemon : greatest ford contour ever made lol"
68,69,"April 16, 2007 12:25PM","
thegraduate ","lolit happens ! every car hold reputation , proved ! actually , never heard contour particularly good bad , honest ."
69,70,"April 16, 2007 1:13PM","
captain2 ","interesting graphic year 's cr 07 automotive issue , line chart comparing reliability ( problem 100 vehicle ) brand longer period time - 10 year . ford , middle pack , better gm/chrysler . top 3 ? toyota/honda/nissan order - substantial margin . appear ford build better car mexico country , jury still thing like ford , n't around long enough yet unlike 'japanese 3 ' ford n't sort history producing quality vehicle mfgrs . . agree technology 'lag ' , slow sale lack sophistication perhaps 2 reason american branded car better ."
70,71,"April 16, 2007 1:53PM","
benderofbows ","n't speak contour , 1998 mazda 626 es-v6 number year . n't think contour 626 similiar ford mazda , lot common . 626 great car , performance ( v6/manual ) , toyota ( leather , moonroof ) long-term reliability ( 100k mile problem ) .i 'd bought stick-shift v6 mazda , n't scared reliability resale.question discussion : ford consistently ranked substantially reliable mazda counterpart ?"
71,72,"April 16, 2007 2:36PM","
elroy5 ","'ve conclusion ( reading forum ) person 's idea `` great car `` different his/her favorite food . , automatic transmission car , `` soul `` . others believe car handle like sport car , 's boring . would submit even buick owner feel passionate car , . enjoy driving much ( ) next guy , n't shifting manually , going around corner hair ( little ) fire . constantly shifting heavy traffic , pounded stiff suspension , idea enjoying ride . bmw corner market `` soul `` . many honda owner feel ( ) passionate car , bmw owner , believe . luckily different car maker make different car , find like best ."
72,73,"April 16, 2007 2:39PM","
lilengineerboy ","n't think contour 626 similiar ford mazda , lot common . mechanically totally correct , contour current get fusion/mazda6 shared part . meant mazda ford 's `` sporty `` midsized sedan.i 'd bought stick-shift v6 mazda , n't scared reliability resale.everyone concern real affect buying decision . sound like happy current ride , care , right ? yet horrible experience vehicle , maintain high level service . typically car 2nd 3rd 10th bday , actually like car poor resale value : p"
73,74,"April 16, 2007 2:46PM","
lilengineerboy ","n't mean make sound like attacking decision make something great . buddy geo prism think greatest car ever good deal . make car great . , definitely realize , like 've said , 'm typical consumer . meet want need buyer.people feeling pasionate car , car , . n't necessarly imply mandate car soul , , say , enjoying ride ."
74,75,"April 16, 2007 2:52PM","
jd10013 ","ford deffinitly step forward ford , designed try recapture lost market share . 'll wait couple year see pan . reason , said , simple . ford simply neglected passenger car market favor truck suv 's worked great . back suv/truck sale exceeded car sale , ford made killing . , still dominate category . problem last couple year gas . price staying consistently $ 2.00 , people returning car . ford catching . ford letting best selling car like ford escort slow painful death , big three asian manufacture making car better better . ford content let ford much profitable suv/truck market . ditto gm.and another part problem hundai kia . even toyota/honda/nissan began pas ford/gm quality reliability , u automaker always price . could always save several thousand buying domestic . hundai/kia , pricing advantage dissapeared . doubt hundai/kia sale cut toyota/honda/nissan much . sale probably came domestic three ."
75,76,"April 16, 2007 3:12PM","
m1miata ",product speaks . -loren
76,77,"April 16, 2007 3:13PM","
m1miata ",product speaks . -loren
77,78,"April 16, 2007 3:14PM","
m1miata ",product speaks . -loren
78,79,"April 16, 2007 3:20PM","
m1miata ","prizm good quality / reliable car , toyota . : shade : sure , little guy shortcoming , great gas mileage easy wheel around town . stay new looking year . owned toyota , easy pocketbook . car bobble windy day freeway , bit awkward ergonomics , friendly ways.loren"
79,80,"April 16, 2007 3:20PM","
m1miata ",product speaks . -loren
80,81,"April 16, 2007 3:20PM","
m1miata ","prizm good quality / reliable car , toyota . : shade : sure , little guy shortcoming , great gas mileage easy wheel around town . stay new looking year . owned toyota , easy pocketbook . car bobble windy day freeway , bit awkward ergonomics , friendly ways.loren"
81,82,"April 16, 2007 3:38PM","
m1miata ","true indeed ! car different another , yet offer least two good quality . enjoyed stick shift little miata owned , much enjoy honda v6 . share good cornering ability , yet differ toyota , driving automatic stick , rewarding way . 1977 cadillac deville total flip side bmw driving experience , yet great freeway chrysler made heck fine limo , chrome ! guess could argue however , car may seen quality stand . personality ; dare say car person . perhaps chevrolet chevrolet square little car , drive point b without anything stand notable . word , work , nothing noteworthy hang called `` soul . `` ala , may find something soulful car . know , good . best car drive maintaining smile . people get excited fwd impala . ! loren"
82,83,"April 16, 2007 3:39PM","
m1miata ","true indeed ! car different another , yet offer least two good quality . enjoyed stick shift little miata owned , much enjoy honda v6 . share good cornering ability , yet differ toyota , driving automatic stick , rewarding way . 1977 cadillac deville total flip side bmw driving experience , yet great freeway chrysler made heck fine limo , chrome ! guess could argue however , car may seen quality stand . personality ; dare say car person . perhaps chevrolet chevrolet square little car , drive point b without anything stand notable . word , work , nothing noteworthy hang called `` soul . `` ala , may find something soulful car . know , good . best car drive maintaining smile . people get excited fwd impala . ! loren"
83,84,"April 16, 2007 5:30PM","
prosource1 ",ford ford rated reliable mid-size 2006 .
84,85,"April 16, 2007 5:44PM","
elroy5 ","? prosource1reliability important , quality consider ( ride , quality , ergonomics , power , ) . truck reliable ( part ) , still n't like driving much ."
85,86,"April 16, 2007 5:46PM","
thegraduate ",... ?
